"FECHA","HORA","TOTAL"
25/01/16,23,2224.24
25/01/16,24,1924.13
26/01/16,1,1107.37
26/01/16,2,793.09
26/01/16,3,488.64
26/01/16,4,610.73
26/01/16,5,626.9
26/01/16,6,897.18
26/01/16,7,1390.95
26/01/16,8,1749.72
26/01/16,9,2291.35
26/01/16,10,2596.21
26/01/16,11,2534.26
26/01/16,12,2995.36
26/01/16,13,3370.8
26/01/16,14,3038.8
26/01/16,15,2733.52
26/01/16,16,2683.86
26/01/16,17,2799.8
26/01/16,18,2714.31
26/01/16,19,3229.55
26/01/16,20,5037.99
26/01/16,21,4786.75
26/01/16,22,3668.95
26/01/16,23,2663.37
26/01/16,24,2106.44
27/01/16,1,1648.62
27/01/16,2,1109.67
27/01/16,3,953.09
27/01/16,4,518.47
27/01/16,5,685.26
27/01/16,6,741.95
27/01/16,7,1057.26
27/01/16,8,1512.37
27/01/16,9,1383.81
27/01/16,10,2042.35
27/01/16,11,2510.74
27/01/16,12,2870.69
27/01/16,13,2718.49
27/01/16,14,2703.45
27/01/16,15,2371.63
27/01/16,16,2406.93
27/01/16,17,2317.53
27/01/16,18,1887.15
27/01/16,19,1859.63
27/01/16,20,3604.64
27/01/16,21,3243.23
27/01/16,22,2357.51
27/01/16,23,1411.78
27/01/16,24,1228.21
28/01/16,1,834.43
28/01/16,2,627.9
28/01/16,3,749.88
28/01/16,4,745.24
28/01/16,5,747.98
28/01/16,6,873.09
28/01/16,7,1138.79
28/01/16,8,1176.81
28/01/16,9,1528.37
28/01/16,10,2209.15
28/01/16,11,2468.01
28/01/16,12,2720.7
28/01/16,13,2807.66
28/01/16,14,2462.69
28/01/16,15,2228.51
28/01/16,16,2420.49
28/01/16,17,2011.28
28/01/16,18,1676.19
28/01/16,19,2006.81
28/01/16,20,3310.71
28/01/16,21,3020.19
28/01/16,22,2053.11
28/01/16,23,1268.77
28/01/16,24,1042.61
29/01/16,1,1013.1
29/01/16,2,920.24
29/01/16,3,762.47
29/01/16,4,833.11
29/01/16,5,1079.48
29/01/16,6,922.14
29/01/16,7,1153.21
29/01/16,8,1489.55
29/01/16,9,1637.85
29/01/16,10,2089.25
29/01/16,11,1989.6
29/01/16,12,1941.44
29/01/16,13,1862.59
29/01/16,14,1662.17
29/01/16,15,1329.24
29/01/16,16,1169.57
29/01/16,17,1257.02
29/01/16,18,1606.8
29/01/16,19,1987.85
29/01/16,20,3162.04
29/01/16,21,2926.47
29/01/16,22,2091.86
29/01/16,23,2098.59
29/01/16,24,1821.68
30/01/16,1,1445.99
30/01/16,2,1260.12
30/01/16,3,1775.7
30/01/16,4,1355.68
30/01/16,5,1256.88
30/01/16,6,1225.94
30/01/16,7,887.01
30/01/16,8,931.07
30/01/16,9,1765.96
30/01/16,10,3472
30/01/16,11,4155.88
30/01/16,12,4008.07
30/01/16,13,4193.77
30/01/16,14,4295.8
30/01/16,15,4120.36
30/01/16,16,3786.77
30/01/16,17,3606.33
30/01/16,18,3581.97
30/01/16,19,4332.47
30/01/16,20,4529.65
